SCHOOL_YEAR,CESA,COUNTY_CODE,COUNTY_NAME,ATHLETIC_CONFERENCE_CODE,ATHLETIC_CONFERENCE_NAME,WTCS_CODE,LOCALE_CODE,LOCALE_NAME,LATITUDE,LONGITUDE,FULL_NCES_CODE,DISTRICT_CODE,SCHOOL_CODE,DISTRICT_NAME,AGENCY_TYPE,SCHOOL_NAME,GRADE_GROUP,LOW_GRADE,HIGH_GRADE,SCHOOL_SIZE,CHARTER_IND,VIRTUAL_SCH_IND,TITLE_1A_PROGRAM_CODE,TITLE_1A_PROGRAM_NAME
2018-19,1,51,Racine,,Not Applicable,,13,Small city,42.729068,-87.797012,5.50005E+11,8110,100,21st Century Preparatory School,Non District Charter Schools,21st Century Preparatory School,Elementary School,K4,8,Large,Yes,No,SWP,School-wide Program
2018-19,10,10,Clark,125,Marawood - North,,41,Rural - fringe,44.949253,-90.332015,5.50003E+11,7,20,Abbotsford,Public school,Abbotsford Elementary,Elementary School,K4,5,Medium,No,No,SWP,School-wide Program
2018-19,10,10,Clark,125,Marawood - North,NC,41,Rural - fringe,44.945758,-90.329246,5.50003E+11,7,40,Abbotsford,Public school,Abbotsford Middle/Senior High,High School,6,12,Medium,No,No,SWP,School-wide Program
2018-19,10,10,Clark,125,Marawood - North,NC,,Unknown,,,Unknown,7,9100,Abbotsford,Public Schools-Multidistrict Charters,Rural Virtual Academy,Combined Elementary/Secondary School,K4,12,Tiny,Yes,Yes,,Not Title I
2018-19,5,1,Adams,39,South Central,,43,Rural - remote,43.964611,-89.809959,5.50006E+11,14,130,Adams-Friendship Area,Public school,Adams-Friendship Elementary,Elementary School,K4,4,Medium,No,No,SWP,School-wide Program
2018-19,5,1,Adams,39,South Central,MS,43,Rural - remote,43.965011,-89.800949,5.50006E+11,14,40,Adams-Friendship Area,Public school,Adams-Friendship High,High School,9,12,Medium,No,No,TASNF,Targeted Assistance eligible but not funded
2018-19,5,1,Adams,39,South Central,,43,Rural - remote,43.964321,-89.814819,5.50006E+11,14,210,Adams-Friendship Area,Public school,Adams-Friendship Middle,Middle School,5,8,Medium,No,No,SWP,School-wide Program
2018-19,5,1,Adams,39,South Central,,43,Rural - remote,43.88747,-89.701934,5.50006E+11,14,140,Adams-Friendship Area,Public school,Grand Marsh Elementary,Elementary School,K4,4,Small,No,No,SWP,School-wide Program
2018-19,2,23,Green,38,Six Rivers,,42,Rural - distant,42.706871,-89.433723,5.50012E+11,63,60,Albany,Public school,Albany Community Middle,Middle School,6,8,Small,No,No,TAS,Targeted Assistance eligible and funded
2018-19,2,23,Green,38,Six Rivers,,42,Rural - distant,42.706871,-89.433723,5.50012E+11,63,20,Albany,Public school,Albany Elementary,Elementary School,K4,5,Small,No,No,SWP,School-wide Program
