Dist Code,District Name,Org Level,CESA,Cty Code,County Name,School Year,Days of Instruction,Actual Days of Attendance,Possible Days of Attendance,ADA,ADM
7,Abbotsford,D,10,10,Clark,2018-2019,172,126344,130528.5,734.56,758.89
14,Adams-Friendship Area,D,5,1,Adams,2018-2019,169,236217.5,256353,1397.74,1516.88
63,Albany,D,2,23,Green,2018-2019,175,56134,59038,320.77,337.36
70,Algoma,D,7,31,Kewaunee,2018-2019,169,117485.5,123269,695.18,729.4
84,Alma,D,4,6,Buffalo,2018-2019,162,38795,40649,239.48,250.92
91,Alma Center,D,4,27,Jackson,2018-2019,172,96433.5,101042,560.66,587.45
105,Almond-Bancroft,D,5,49,Portage,2018-2019,173,59544.5,62801,344.19,363.01
112,Altoona,D,10,18,Eau Claire,2018-2019,167,255179,266380.5,1528.02,1595.09
119,Amery,D,11,48,Polk,2018-2019,173,263481.5,279262,1523.01,1614.23
126,Tomorrow River,D,5,49,Portage,2018-2019,169,185617,194491,1098.33,1150.83
140,Antigo Unified,D,9,34,Langlade,2018-2019,168,334469.5,358156.5,1990.89,2131.88
147,Appleton Area,D,6,44,Outagamie,2018-2019,172,2670895.5,2804647,15528.46,16306.09
154,Arcadia,D,4,61,Trempealeau,2018-2019,176,199444,210269.5,1133.2,1194.71
161,Argyle,D,3,33,Lafayette,2018-2019,168,44251,46234,263.4,275.2
170,Ashland,D,12,2,Ashland,2018-2019,176,342084,368530,1943.66,2093.92
182,Ashwaubenon,D,7,5,Brown,2018-2019,175,537650.5,564618,3072.29,3226.39
196,Athens,D,9,37,Marathon,2018-2019,168,65118.5,67595,387.61,402.35
203,Auburndale,D,5,71,Wood,2018-2019,168,126976,131324.5,755.81,781.69
217,Augusta,D,10,18,Eau Claire,2018-2019,167,97944,103016,586.49,616.86
231,Baldwin-Woodville Area,D,11,55,Saint Croix,2018-2019,174,294473,307115,1692.37,1765.03
238,Unity,D,11,48,Polk,2018-2019,169,146301.5,156076,865.69,923.53
245,Bangor,D,4,32,La Crosse,2018-2019,170,92687.5,96303,545.22,566.49
280,Baraboo,D,5,56,Sauk,2018-2019,171,467714,500330.5,2735.17,2925.91
287,Barneveld,D,3,25,Iowa,2018-2019,168,70671.5,72988,420.66,434.45
308,Barron Area,D,11,3,Barron,2018-2019,174,196460,207675.5,1129.08,1193.54
315,Bayfield,D,12,4,Bayfield,2018-2019,172,56151.5,61528,326.46,357.72
336,Beaver Dam Unified,D,6,14,Dodge,2018-2019,169,550081.5,583249,3254.92,3451.18
350,Belleville,D,2,13,Dane,2018-2019,168,146032,153075,869.24,911.16
364,Belmont Community,D,3,33,Lafayette,2018-2019,179,60754.5,64075,339.41,357.96
413,Beloit,D,2,53,Rock,2018-2019,173,1002049,1110818,5792.19,6420.91
422,Beloit Turner,D,2,53,Rock,2018-2019,170,255296,268468,1501.74,1579.22
427,Benton,D,3,33,Lafayette,2018-2019,168,31696.5,33142,188.67,197.27
434,Berlin Area,D,6,24,Green Lake,2018-2019,178,257864.5,272536,1448.68,1531.1
441,Birchwood,D,11,65,Washburn,2018-2019,170,46330,49068,272.53,288.64
469,Wisconsin Heights,D,2,13,Dane,2018-2019,169,125618.5,131738,743.3,779.51
476,Black River Falls,D,4,27,Jackson,2018-2019,182,265282.5,287619,1457.6,1580.32
485,Blair-Taylor,D,4,61,Trempealeau,2018-2019,168,96983,101619,577.28,604.88
490,Pecatonica Area,D,3,33,Lafayette,2018-2019,174,61747,65897,354.87,378.72
497,Bloomer,D,10,9,Chippewa,2018-2019,167,196394,206264,1176.01,1235.11
602,Bonduel,D,8,58,Shawano,2018-2019,174,123689,129840,710.86,746.21
609,Boscobel Area,D,3,22,Grant,2018-2019,179,121177.5,126250,676.97,705.31
616,North Lakeland,D,9,63,Vilas,2018-2019,169,25395.5,26683,150.27,157.89
623,Bowler,D,8,58,Shawano,2018-2019,179,52734,56502,294.6,315.65
637,Boyceville Community,D,11,17,Dunn,2018-2019,176,109278,114648,620.9,651.41
657,Brighton #1,D,2,30,Kenosha,2018-2019,169,34907,36131,206.55,213.79
658,Brillion,D,7,8,Calumet,2018-2019,174,162781.5,169290,935.53,972.93
665,Bristol #1,D,2,30,Kenosha,2018-2019,179,139946,146509,781.82,818.49
700,Brodhead,D,2,23,Green,2018-2019,169,160664,166767,950.67,986.79
714,Elmbrook,D,1,67,Waukesha,2018-2019,176,1227769.5,1279537.5,6975.96,7270.1
721,Brown Deer,D,1,40,Milwaukee,2018-2019,165,237711,257132,1440.67,1558.38
735,Bruce,D,10,54,Rusk,2018-2019,171,70047,74110,409.63,433.39
777,Burlington Area,D,2,51,Racine,2018-2019,171,496145,529526,2901.43,3096.64
840,Butternut,D,12,2,Ashland,2018-2019,166,31460,33439,189.52,201.44
870,Cadott Community,D,10,9,Chippewa,2018-2019,166,128338.5,135515,773.12,816.36
882,Cambria-Friesland,D,5,11,Columbia,2018-2019,171,56321.5,58636,329.37,342.9
896,Cambridge,D,2,13,Dane,2018-2019,173,150574.5,158281.5,870.37,914.92
903,Cameron,D,11,3,Barron,2018-2019,171,187999.5,196250,1099.41,1147.66
910,Campbellsport,D,6,20,Fond du Lac,2018-2019,175,209788.5,218410.5,1198.79,1248.06
980,Cashton,D,4,41,Monroe,2018-2019,167,94206.5,97826,564.11,585.78
994,Cassville,D,3,22,Grant,2018-2019,179,16795.5,17709,93.83,98.93
1015,Cedarburg,D,1,45,Ozaukee,2018-2019,172,517897.5,544953,3011.03,3168.33
1029,Cedar Grove-Belgium Area,D,7,59,Sheboygan,2018-2019,174,156214,162589,897.78,934.42
1071,Chequamegon,D,12,50,Price,2018-2019,169,123378,129207,730.05,764.54
1080,Chetek-Weyerhaeuser Area,D,11,3,Barron,2018-2019,176,150094.5,158069,852.81,898.12
