SCHOOL_YEAR,AGENCY_TYPE,CESA,COUNTY,DISTRICT_CODE,SCHOOL_CODE,GRADE_GROUP,CHARTER_IND,DISTRICT_NAME,SCHOOL_NAME,GROUP_BY,GROUP_BY_VALUE,REMOVAL_TYPE_DESCRIPTION,TFS_ENROLLMENT_COUNT,REMOVAL_COUNT
2018-19,School District,10,Clark,7,,[All],No,Abbotsford,[Districtwide],All Students,All Students,Out of School Suspension,764,15
2018-19,School District,5,Adams,14,,[All],No,Adams-Friendship Area,[Districtwide],All Students,All Students,Out of School Suspension,1494,208
2018-19,School District,2,Green,63,,[All],No,Albany,[Districtwide],All Students,All Students,Out of School Suspension,339,14
2018-19,School District,7,Kewaunee,70,,[All],No,Algoma,[Districtwide],All Students,All Students,Out of School Suspension,706,2
2018-19,School District,4,Buffalo,84,,[All],No,Alma,[Districtwide],All Students,All Students,,246,0
2018-19,School District,4,Jackson,91,,[All],No,Alma Center,[Districtwide],All Students,All Students,Expulsion without Services Offered,607,4
2018-19,School District,4,Jackson,91,,[All],No,Alma Center,[Districtwide],All Students,All Students,Out of School Suspension,607,31
2018-19,School District,5,Portage,105,,[All],No,Almond-Bancroft,[Districtwide],All Students,All Students,Out of School Suspension,398,11
2018-19,School District,10,Eau Claire,112,,[All],No,Altoona,[Districtwide],All Students,All Students,Out of School Suspension,1599,78
2018-19,School District,11,Polk,119,,[All],No,Amery,[Districtwide],All Students,All Students,Out of School Suspension,1554,96
2018-19,School District,9,Langlade,140,,[All],No,Antigo Unified,[Districtwide],All Students,All Students,Expulsion with Services Offered,2262,1
2018-19,School District,9,Langlade,140,,[All],No,Antigo Unified,[Districtwide],All Students,All Students,Out of School Suspension,2262,182
2018-19,School District,6,Outagamie,147,,[All],No,Appleton Area,[Districtwide],All Students,All Students,Out of School Suspension,16291,670
2018-19,School District,4,Trempealeau,154,,[All],No,Arcadia,[Districtwide],All Students,All Students,Out of School Suspension,1302,20
2018-19,School District,3,Lafayette,161,,[All],No,Argyle,[Districtwide],All Students,All Students,Out of School Suspension,292,5
2018-19,School District,1,Waukesha,2450,,[All],No,Arrowhead UHS,[Districtwide],All Students,All Students,Out of School Suspension,2139,46
2018-19,School District,12,Ashland,170,,[All],No,Ashland,[Districtwide],All Students,All Students,Out of School Suspension,2093,194
2018-19,School District,7,Brown,182,,[All],No,Ashwaubenon,[Districtwide],All Students,All Students,Out of School Suspension,3313,142
2018-19,School District,9,Marathon,196,,[All],No,Athens,[Districtwide],All Students,All Students,Out of School Suspension,415,2
2018-19,School District,5,Wood,203,,[All],No,Auburndale,[Districtwide],All Students,All Students,Out of School Suspension,818,27
2018-19,School District,10,Eau Claire,217,,[All],No,Augusta,[Districtwide],All Students,All Students,Expulsion with Services Offered,624,1
2018-19,School District,10,Eau Claire,217,,[All],No,Augusta,[Districtwide],All Students,All Students,Expulsion without Services Offered,624,2
2018-19,School District,10,Eau Claire,217,,[All],No,Augusta,[Districtwide],All Students,All Students,Out of School Suspension,624,53
2018-19,School District,11,Saint Croix,231,,[All],No,Baldwin-Woodville Area,[Districtwide],All Students,All Students,Out of School Suspension,1745,11
2018-19,School District,4,La Crosse,245,,[All],No,Bangor,[Districtwide],All Students,All Students,Out of School Suspension,588,10
2018-19,School District,5,Sauk,280,,[All],No,Baraboo,[Districtwide],All Students,All Students,Out of School Suspension,2972,284
2018-19,School District,3,Iowa,287,,[All],No,Barneveld,[Districtwide],All Students,All Students,Out of School Suspension,438,2
2018-19,School District,11,Barron,308,,[All],No,Barron Area,[Districtwide],All Students,All Students,Out of School Suspension,1241,46
2018-19,School District,12,Bayfield,315,,[All],No,Bayfield,[Districtwide],All Students,All Students,Expulsion without Services Offered,365,1
2018-19,School District,12,Bayfield,315,,[All],No,Bayfield,[Districtwide],All Students,All Students,Out of School Suspension,365,19
2018-19,School District,6,Dodge,336,,[All],No,Beaver Dam Unified,[Districtwide],All Students,All Students,Expulsion with Services Offered,3508,2
2018-19,School District,6,Dodge,336,,[All],No,Beaver Dam Unified,[Districtwide],All Students,All Students,Expulsion without Services Offered,3508,5
2018-19,School District,6,Dodge,336,,[All],No,Beaver Dam Unified,[Districtwide],All Students,All Students,Out of School Suspension,3508,281
2018-19,School District,8,Marinette,4263,,[All],No,Beecher-Dunbar-Pembine,[Districtwide],All Students,All Students,Out of School Suspension,233,43
2018-19,School District,2,Dane,350,,[All],No,Belleville,[Districtwide],All Students,All Students,Out of School Suspension,887,11
2018-19,School District,3,Lafayette,364,,[All],No,Belmont Community,[Districtwide],All Students,All Students,Expulsion without Services Offered,384,2
2018-19,School District,3,Lafayette,364,,[All],No,Belmont Community,[Districtwide],All Students,All Students,Out of School Suspension,384,3
2018-19,School District,2,Rock,413,,[All],No,Beloit,[Districtwide],All Students,All Students,Expulsion with Services Offered,6474,25
2018-19,School District,2,Rock,413,,[All],No,Beloit,[Districtwide],All Students,All Students,Expulsion without Services Offered,6474,5
2018-19,School District,2,Rock,413,,[All],No,Beloit,[Districtwide],All Students,All Students,Out of School Suspension,6474,2163
