SCHOOL_YEAR,AGENCY_TYPE,CESA,COUNTY,DISTRICT_CODE,SCHOOL_CODE,GRADE_GROUP,CHARTER_IND,DISTRICT_NAME,SCHOOL_NAME,GROUP_BY,GROUP_BY_VALUE,BEHAVIOR_TYPE,TFS_ENROLLMENT_COUNT,INCIDENTS_COUNT
2018-19,School District,10,Clark,7,,[All],No,Abbotsford,[Districtwide],All Students,All Students,Drugs and Alcohol,764,4
2018-19,School District,10,Clark,7,,[All],No,Abbotsford,[Districtwide],All Students,All Students,Endangering Behavior,764,9
2018-19,School District,10,Clark,7,,[All],No,Abbotsford,[Districtwide],All Students,All Students,Other Violation of School Rules,764,2
2018-19,School District,5,Adams,14,,[All],No,Adams-Friendship Area,[Districtwide],All Students,All Students,Drugs and Alcohol,1494,39
2018-19,School District,5,Adams,14,,[All],No,Adams-Friendship Area,[Districtwide],All Students,All Students,Other Violation of School Rules,1494,166
2018-19,School District,5,Adams,14,,[All],No,Adams-Friendship Area,[Districtwide],All Students,All Students,Weapon Related,1494,3
2018-19,School District,2,Green,63,,[All],No,Albany,[Districtwide],All Students,All Students,Endangering Behavior,339,4
2018-19,School District,2,Green,63,,[All],No,Albany,[Districtwide],All Students,All Students,Other Violation of School Rules,339,10
2018-19,School District,7,Kewaunee,70,,[All],No,Algoma,[Districtwide],All Students,All Students,Other Violation of School Rules,706,2
2018-19,School District,4,Buffalo,84,,[All],No,Alma,[Districtwide],All Students,All Students,,246,0
2018-19,School District,4,Jackson,91,,[All],No,Alma Center,[Districtwide],All Students,All Students,Drugs and Alcohol,607,4
2018-19,School District,4,Jackson,91,,[All],No,Alma Center,[Districtwide],All Students,All Students,Endangering Behavior,607,6
2018-19,School District,4,Jackson,91,,[All],No,Alma Center,[Districtwide],All Students,All Students,Other Violation of School Rules,607,20
2018-19,School District,4,Jackson,91,,[All],No,Alma Center,[Districtwide],All Students,All Students,Weapon Related,607,1
2018-19,School District,5,Portage,105,,[All],No,Almond-Bancroft,[Districtwide],All Students,All Students,Drugs and Alcohol,398,2
2018-19,School District,5,Portage,105,,[All],No,Almond-Bancroft,[Districtwide],All Students,All Students,Other Violation of School Rules,398,9
2018-19,School District,10,Eau Claire,112,,[All],No,Altoona,[Districtwide],All Students,All Students,Assault,1599,2
2018-19,School District,10,Eau Claire,112,,[All],No,Altoona,[Districtwide],All Students,All Students,Drugs and Alcohol,1599,15
2018-19,School District,10,Eau Claire,112,,[All],No,Altoona,[Districtwide],All Students,All Students,Endangering Behavior,1599,23
2018-19,School District,10,Eau Claire,112,,[All],No,Altoona,[Districtwide],All Students,All Students,Other Violation of School Rules,1599,37
2018-19,School District,10,Eau Claire,112,,[All],No,Altoona,[Districtwide],All Students,All Students,Weapon Related,1599,1
2018-19,School District,11,Polk,119,,[All],No,Amery,[Districtwide],All Students,All Students,Assault,1554,2
2018-19,School District,11,Polk,119,,[All],No,Amery,[Districtwide],All Students,All Students,Drugs and Alcohol,1554,8
2018-19,School District,11,Polk,119,,[All],No,Amery,[Districtwide],All Students,All Students,Endangering Behavior,1554,1
2018-19,School District,11,Polk,119,,[All],No,Amery,[Districtwide],All Students,All Students,Other Violation of School Rules,1554,83
2018-19,School District,11,Polk,119,,[All],No,Amery,[Districtwide],All Students,All Students,Weapon Related,1554,2
2018-19,School District,9,Langlade,140,,[All],No,Antigo Unified,[Districtwide],All Students,All Students,Assault,2262,7
2018-19,School District,9,Langlade,140,,[All],No,Antigo Unified,[Districtwide],All Students,All Students,Drugs and Alcohol,2262,13
2018-19,School District,9,Langlade,140,,[All],No,Antigo Unified,[Districtwide],All Students,All Students,Endangering Behavior,2262,85
2018-19,School District,9,Langlade,140,,[All],No,Antigo Unified,[Districtwide],All Students,All Students,Other Violation of School Rules,2262,62
2018-19,School District,9,Langlade,140,,[All],No,Antigo Unified,[Districtwide],All Students,All Students,Weapon Related,2262,15
2018-19,School District,6,Outagamie,147,,[All],No,Appleton Area,[Districtwide],All Students,All Students,Assault,16291,7
2018-19,School District,6,Outagamie,147,,[All],No,Appleton Area,[Districtwide],All Students,All Students,Drugs and Alcohol,16291,55
2018-19,School District,6,Outagamie,147,,[All],No,Appleton Area,[Districtwide],All Students,All Students,Endangering Behavior,16291,245
2018-19,School District,6,Outagamie,147,,[All],No,Appleton Area,[Districtwide],All Students,All Students,Other Violation of School Rules,16291,332
2018-19,School District,6,Outagamie,147,,[All],No,Appleton Area,[Districtwide],All Students,All Students,Weapon Related,16291,27
2018-19,School District,4,Trempealeau,154,,[All],No,Arcadia,[Districtwide],All Students,All Students,Assault,1302,3
2018-19,School District,4,Trempealeau,154,,[All],No,Arcadia,[Districtwide],All Students,All Students,Drugs and Alcohol,1302,2
2018-19,School District,4,Trempealeau,154,,[All],No,Arcadia,[Districtwide],All Students,All Students,Other Violation of School Rules,1302,15
2018-19,School District,3,Lafayette,161,,[All],No,Argyle,[Districtwide],All Students,All Students,Assault,292,1
2018-19,School District,3,Lafayette,161,,[All],No,Argyle,[Districtwide],All Students,All Students,Other Violation of School Rules,292,4
2018-19,School District,1,Waukesha,2450,,[All],No,Arrowhead UHS,[Districtwide],All Students,All Students,Drugs and Alcohol,2139,10
2018-19,School District,1,Waukesha,2450,,[All],No,Arrowhead UHS,[Districtwide],All Students,All Students,Other Violation of School Rules,2139,33
2018-19,School District,1,Waukesha,2450,,[All],No,Arrowhead UHS,[Districtwide],All Students,All Students,Weapon Related,2139,1
2018-19,School District,12,Ashland,170,,[All],No,Ashland,[Districtwide],All Students,All Students,Drugs and Alcohol,2093,9
2018-19,School District,12,Ashland,170,,[All],No,Ashland,[Districtwide],All Students,All Students,Endangering Behavior,2093,64
2018-19,School District,12,Ashland,170,,[All],No,Ashland,[Districtwide],All Students,All Students,Other Violation of School Rules,2093,118
2018-19,School District,12,Ashland,170,,[All],No,Ashland,[Districtwide],All Students,All Students,Weapon Related,2093,3
2018-19,School District,7,Brown,182,,[All],No,Ashwaubenon,[Districtwide],All Students,All Students,Assault,3313,2
2018-19,School District,7,Brown,182,,[All],No,Ashwaubenon,[Districtwide],All Students,All Students,Drugs and Alcohol,3313,7
2018-19,School District,7,Brown,182,,[All],No,Ashwaubenon,[Districtwide],All Students,All Students,Endangering Behavior,3313,7
2018-19,School District,7,Brown,182,,[All],No,Ashwaubenon,[Districtwide],All Students,All Students,Other Violation of School Rules,3313,120
2018-19,School District,7,Brown,182,,[All],No,Ashwaubenon,[Districtwide],All Students,All Students,Weapon Related,3313,6
2018-19,School District,9,Marathon,196,,[All],No,Athens,[Districtwide],All Students,All Students,Other Violation of School Rules,415,1
2018-19,School District,5,Wood,203,,[All],No,Auburndale,[Districtwide],All Students,All Students,Assault,818,4
2018-19,School District,5,Wood,203,,[All],No,Auburndale,[Districtwide],All Students,All Students,Drugs and Alcohol,818,6
2018-19,School District,5,Wood,203,,[All],No,Auburndale,[Districtwide],All Students,All Students,Endangering Behavior,818,5
2018-19,School District,5,Wood,203,,[All],No,Auburndale,[Districtwide],All Students,All Students,Other Violation of School Rules,818,11
2018-19,School District,5,Wood,203,,[All],No,Auburndale,[Districtwide],All Students,All Students,Weapon Related,818,1
2018-19,School District,10,Eau Claire,217,,[All],No,Augusta,[Districtwide],All Students,All Students,Assault,624,4
2018-19,School District,10,Eau Claire,217,,[All],No,Augusta,[Districtwide],All Students,All Students,Drugs and Alcohol,624,1
2018-19,School District,10,Eau Claire,217,,[All],No,Augusta,[Districtwide],All Students,All Students,Endangering Behavior,624,11
2018-19,School District,10,Eau Claire,217,,[All],No,Augusta,[Districtwide],All Students,All Students,Other Violation of School Rules,624,37
2018-19,School District,11,Saint Croix,231,,[All],No,Baldwin-Woodville Area,[Districtwide],All Students,All Students,Drugs and Alcohol,1745,1
2018-19,School District,11,Saint Croix,231,,[All],No,Baldwin-Woodville Area,[Districtwide],All Students,All Students,Endangering Behavior,1745,6
2018-19,School District,11,Saint Croix,231,,[All],No,Baldwin-Woodville Area,[Districtwide],All Students,All Students,Other Violation of School Rules,1745,4
2018-19,School District,4,La Crosse,245,,[All],No,Bangor,[Districtwide],All Students,All Students,Assault,588,1
2018-19,School District,4,La Crosse,245,,[All],No,Bangor,[Districtwide],All Students,All Students,Other Violation of School Rules,588,9
2018-19,School District,5,Sauk,280,,[All],No,Baraboo,[Districtwide],All Students,All Students,Assault,2972,16
2018-19,School District,5,Sauk,280,,[All],No,Baraboo,[Districtwide],All Students,All Students,Drugs and Alcohol,2972,23
2018-19,School District,5,Sauk,280,,[All],No,Baraboo,[Districtwide],All Students,All Students,Endangering Behavior,2972,121
2018-19,School District,5,Sauk,280,,[All],No,Baraboo,[Districtwide],All Students,All Students,Other Violation of School Rules,2972,122
2018-19,School District,5,Sauk,280,,[All],No,Baraboo,[Districtwide],All Students,All Students,Weapon Related,2972,2
2018-19,School District,3,Iowa,287,,[All],No,Barneveld,[Districtwide],All Students,All Students,Assault,438,1
2018-19,School District,3,Iowa,287,,[All],No,Barneveld,[Districtwide],All Students,All Students,Drugs and Alcohol,438,1
2018-19,School District,11,Barron,308,,[All],No,Barron Area,[Districtwide],All Students,All Students,Assault,1241,2
2018-19,School District,11,Barron,308,,[All],No,Barron Area,[Districtwide],All Students,All Students,Drugs and Alcohol,1241,4
2018-19,School District,11,Barron,308,,[All],No,Barron Area,[Districtwide],All Students,All Students,Endangering Behavior,1241,2
2018-19,School District,11,Barron,308,,[All],No,Barron Area,[Districtwide],All Students,All Students,Other Violation of School Rules,1241,36
2018-19,School District,11,Barron,308,,[All],No,Barron Area,[Districtwide],All Students,All Students,Weapon Related,1241,2
2018-19,School District,12,Bayfield,315,,[All],No,Bayfield,[Districtwide],All Students,All Students,Assault,365,4
