SCHOOL_YEAR,AGENCY_TYPE,CESA,COUNTY,DISTRICT_CODE,SCHOOL_CODE,GRADE_GROUP,CHARTER_IND,DISTRICT_NAME,SCHOOL_NAME,GROUP_BY,GROUP_BY_VALUE,STUDENT_COUNT,PERCENT_OF_GROUP
2018-19,School District,10,Clark,7,,[All],No,Abbotsford,[Districtwide],All Students,All Students,764,100
2018-19,School District,5,Adams,14,,[All],No,Adams-Friendship Area,[Districtwide],All Students,All Students,1494,100
2018-19,School District,2,Green,63,,[All],No,Albany,[Districtwide],All Students,All Students,339,100
2018-19,School District,7,Kewaunee,70,,[All],No,Algoma,[Districtwide],All Students,All Students,706,100
2018-19,School District,4,Buffalo,84,,[All],No,Alma,[Districtwide],All Students,All Students,246,100
2018-19,School District,4,Jackson,91,,[All],No,Alma Center,[Districtwide],All Students,All Students,607,100
2018-19,School District,5,Portage,105,,[All],No,Almond-Bancroft,[Districtwide],All Students,All Students,398,100
2018-19,School District,10,Eau Claire,112,,[All],No,Altoona,[Districtwide],All Students,All Students,1599,100
2018-19,School District,11,Polk,119,,[All],No,Amery,[Districtwide],All Students,All Students,1554,100
2018-19,School District,9,Langlade,140,,[All],No,Antigo Unified,[Districtwide],All Students,All Students,2262,100
2018-19,School District,6,Outagamie,147,,[All],No,Appleton Area,[Districtwide],All Students,All Students,16291,100
2018-19,School District,4,Trempealeau,154,,[All],No,Arcadia,[Districtwide],All Students,All Students,1302,100
2018-19,School District,3,Lafayette,161,,[All],No,Argyle,[Districtwide],All Students,All Students,292,100
2018-19,School District,1,Waukesha,2450,,[All],No,Arrowhead UHS,[Districtwide],All Students,All Students,2139,100
2018-19,School District,12,Ashland,170,,[All],No,Ashland,[Districtwide],All Students,All Students,2093,100
2018-19,School District,7,Brown,182,,[All],No,Ashwaubenon,[Districtwide],All Students,All Students,3313,100
2018-19,School District,9,Marathon,196,,[All],No,Athens,[Districtwide],All Students,All Students,415,100
2018-19,School District,5,Wood,203,,[All],No,Auburndale,[Districtwide],All Students,All Students,818,100
2018-19,School District,10,Eau Claire,217,,[All],No,Augusta,[Districtwide],All Students,All Students,624,100
2018-19,School District,11,Saint Croix,231,,[All],No,Baldwin-Woodville Area,[Districtwide],All Students,All Students,1745,100
2018-19,School District,4,La Crosse,245,,[All],No,Bangor,[Districtwide],All Students,All Students,588,100
2018-19,School District,5,Sauk,280,,[All],No,Baraboo,[Districtwide],All Students,All Students,2972,100
2018-19,School District,3,Iowa,287,,[All],No,Barneveld,[Districtwide],All Students,All Students,438,100
2018-19,School District,11,Barron,308,,[All],No,Barron Area,[Districtwide],All Students,All Students,1241,100
2018-19,School District,12,Bayfield,315,,[All],No,Bayfield,[Districtwide],All Students,All Students,365,100
2018-19,School District,6,Dodge,336,,[All],No,Beaver Dam Unified,[Districtwide],All Students,All Students,3508,100
