OBJECTID,DISTRICT,explServcsOfer,explNoServcsOfer,OSS,CESA,COUNTY_CODE,COUNTY_NAME,ATHLETIC_CONFERENCE_CODE,ATHLETIC_CONFERENCE_NAME,DISTRICT_CODE,Possible Days of Attendance,ADA,ADM,STUDENT_COUNT,SDID,LEAID,TYPE,SHAPE_Length,SHAPE_Area
1,Abbotsford,no data,no data,15,10,10,Clark,125,Marawood - North,7,130528.5,734.56,758.89,764,7,5500030,Unified,82835.51695,111443225
2,Adams-Friendship Area,no data,no data,208,5,1,Adams,39,South Central,14,256353,1397.74,1516.88,1494,14,5500060,Unified,186978.1386,1260650755
3,Albany,no data,no data,14,2,23,Green,38,Six Rivers,63,59038,320.77,337.36,339,63,5500120,Unified,120857.6098,174110087.6
4,Algoma,no data,no data,2,7,31,Kewaunee,33,Packerland,70,123269,695.18,729.4,706,70,5500150,Unified,64837.37994,177046816.1
5,Alma,no data,no data,no data,4,6,Buffalo,11,Dairyland,84,40649,239.48,250.92,246,84,5500180,Unified,263565.3791,354134415.3
6,Alma Center,no data,4,31,4,27,Jackson,11,Dairyland,91,101042,560.66,587.45,607,91,5500210,Unified,116822.503,345581869.8
7,Almond-Bancroft,no data,no data,11,5,49,Portage,155,Central Wisconsin - 10,105,62801,344.19,363.01,398,105,5500240,Unified,141870.6049,280586936.4
8,Altoona,no data,no data,78,10,18,Eau Claire,121,Cloverbelt - West,112,266380.5,1528.02,1595.09,1599,112,5500270,Unified,57844.79286,33742479.43
9,Amery,no data,no data,96,11,48,Polk,26,Middle Border,119,279262,1523.01,1614.23,1554,119,5500300,Unified,193451.6406,421217805.3
10,Antigo Unified,1,no data,182,9,34,Langlade,124,Great Northern,140,358156.5,1990.89,2131.88,2262,140,5500360,Unified,237860.0012,1405135854
11,Appleton Area,no data,no data,670,6,44,Outagamie,16,Fox Valley Association,147,2804647,15528.46,16306.09,16291,147,5500390,Unified,58145.64537,115554144.3
12,Arcadia,no data,no data,20,4,61,Trempealeau,10,Coulee,154,210269.5,1133.2,1194.71,1302,154,5500420,Unified,238821.9185,553106755.2
13,Argyle,no data,no data,5,3,33,Lafayette,38,Six Rivers,161,46234,263.4,275.2,292,161,5500450,Unified,151838.5344,215612284.5
369,Arrowhead UHS,no data,no data,46,1,67,Waukesha,8,Classic Eight,2450,370447,2058.76,2116.84,2139,2450,5506180,Secondary,73289.86556,174846508.6
14,Ashland,no data,no data,194,12,2,Ashland,29,No WI Affiliation,170,368530,1943.66,2093.92,2093,170,5500510,Unified,237814.6419,1058805968
15,Ashwaubenon,no data,no data,142,7,5,Brown,54,Fox River Classic,182,564618,3072.29,3226.39,3313,182,5500540,Unified,34391.14236,26220010.88
16,Athens,no data,no data,2,9,37,Marathon,125,Marawood - North,196,67595,387.61,402.35,415,196,5500570,Unified,99323.44385,332125377.7
