OBJECTID,DISTRICT,SDID,CESA,LEAID,TYPE,SHAPE_Length,SHAPE_Area
1,Abbotsford,7,10,5500030,Unified,82835.51695,111443225
2,Adams-Friendship Area,14,5,5500060,Unified,186978.1386,1260650755
3,Albany,63,2,5500120,Unified,120857.6098,174110087.6
4,Algoma,70,7,5500150,Unified,64837.37994,177046816.1
5,Alma,84,4,5500180,Unified,263565.3791,354134415.3
6,Alma Center,91,4,5500210,Unified,116822.503,345581869.8
7,Almond-Bancroft,105,5,5500240,Unified,141870.6049,280586936.4
8,Altoona,112,10,5500270,Unified,57844.79286,33742479.43
9,Amery,119,11,5500300,Unified,193451.6406,421217805.3
10,Antigo Unified,140,9,5500360,Unified,237860.0012,1405135854
11,Appleton Area,147,6,5500390,Unified,58145.64537,115554144.3
12,Arcadia,154,4,5500420,Unified,238821.9185,553106755.2
13,Argyle,161,3,5500450,Unified,151838.5344,215612284.5
14,Ashland,170,12,5500510,Unified,237814.6419,1058805968
15,Ashwaubenon,182,7,5500540,Unified,34391.14236,26220010.88
16,Athens,196,9,5500570,Unified,99323.44385,332125377.7
17,Auburndale,203,5,5500600,Unified,141287.352,390506689
18,Augusta,217,10,5500630,Unified,147308.8162,428670207.1
19,Baldwin-Woodville Area,231,11,5500720,Unified,161819.6264,299562816.5
20,Bangor,245,4,5500780,Unified,126052.4634,245471066.6
21,Baraboo,280,5,5500810,Unified,125951.9779,409312782.3
22,Barneveld,287,3,5500840,Unified,71254.50874,173869181.2
23,Barron Area,308,11,5500870,Unified,232598.0895,468660421.7
24,Bayfield,315,12,5500900,Unified,367949.3132,561428472
25,Beaver Dam Unified,336,6,5500960,Unified,134296.1966,302378576.4
26,Beecher-Dunbar-Pembine,4263,8,5511550,Unified,115405.4815,574737446.6
27,Belleville,350,2,5500990,Unified,115968.0946,185413721.1
28,Belmont Community,364,3,5501020,Unified,117438.1098,262435603
29,Beloit,413,2,5501050,Unified,64858.64666,45430337.99
30,Beloit Turner,422,2,5501080,Unified,90380.02414,77994860.93
31,Benton,427,3,5501110,Unified,132751.9243,84021592.53
32,Berlin Area,434,6,5501140,Unified,196445.3945,534154745.8
33,Birchwood,441,11,5501170,Unified,170667.9948,599711308.9
34,Black Hawk,2240,3,5505730,Unified,201922.5966,346124646.9
35,Black River Falls,476,4,5501260,Unified,266943.9135,1207667868
36,Blair-Taylor,485,4,5500016,Unified,188618.6918,456207903.4
37,Bloomer,497,10,5501350,Unified,161788.2086,437062132.6
38,Bonduel,602,8,5501470,Unified,155494.4494,385285782
39,Boscobel Area,609,3,5501500,Unified,240288.8695,452594552.7
40,Bowler,623,8,5501560,Unified,89284.33427,324766354.7
41,Boyceville Community,637,11,5501590,Unified,244016.6995,419325615.3
42,Brillion,658,7,5501680,Unified,131737.0053,164517756.7
43,Brodhead,700,2,5501740,Unified,154080.3797,257084048.1
44,Brown Deer,721,1,5501800,Unified,17600.97436,11531019.11
45,Bruce,735,10,5501830,Unified,192332.2476,700501655.5
46,Burlington Area,777,2,5501890,Unified,104184.3086,257941884.9
47,Butternut,840,12,5501920,Unified,144166.5906,604352536.5
48,Cadott Community,870,10,5502040,Unified,143711.9579,394306855.2
49,Cambria-Friesland,882,5,5502070,Unified,150076.7633,216614550
50,Cambridge,896,2,5502100,Unified,120603.3861,167523548.8
51,Cameron,903,11,5502130,Unified,113140.1871,181190684.3
52,Campbellsport,910,6,5502160,Unified,162584.9625,463688733
53,Cashton,980,4,5502340,Unified,206321.9221,303405144.7
54,Cassville,994,3,5502400,Unified,199674.1123,234054683.5
55,Cedar Grove-Belgium Area,1029,7,5502430,Unified,72271.8708,98225642.23
